id,name,category,description,price,imageUrl,status
AI-101,生成式 AI 職場生產力倍增實戰,職場應用,學習如何使用 ChatGPT、Claude 與 Office 輔助工具，大幅提升日常工作、簡報製作與 Email 撰寫效率。,3200,https://images.unsplash.com/photo-1499750310107-5fef28a66643?auto=format&fit=crop&w=800&q=80,剩餘 15 個名額
AI-102,Midjourney & DALL-E 商業視覺設計,視覺設計,掌握 AI 繪圖提示詞技巧，快速生成高質感行銷海報、電商 Banner 及產品包裝概念圖。,4500,https://images.unsplash.com/photo-1561070791-2526d30994b5?auto=format&fit=crop&w=800&q=80,剩餘 8 個名額
AI-103,AI 驅動的數據分析與商業洞察,商業分析,運用 Python 與 AI 輔助工具自動化分析銷售數據，快速產出高價值商業預測報告。,5800,https://images.unsplash.com/photo-1551288049-bebda4e38f71?auto=format&fit=crop&w=800&q=80,額滿即將截止 (剩 3 名)
AI-104,無程式碼 AI 自動化工作流 (Make/n8n),流程自動化,無需寫程式！打造自動化客戶回覆系統、數據同步與社群媒體貼文自動排程。,4200,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=800&q=80,剩餘 12 個名額
AI-105,企業專用 RAG 知識庫與 AI 智能客服建置,技術實作,結合企業內部文件打造高準確度的專屬 AI 知識庫與 24/7 自動化智能客服小幫手。,6800,https://images.unsplash.com/photo-1531746020798-e6953c6e8e04?auto=format&fit=crop&w=800&q=80,熱銷中 (剩 5 名)
AI-106,AI 數位行銷文案與社群經營全攻略,數位行銷,教你用 AI 打造高轉換爆款文案、自動排程 SEO 文章與精準社群廣告投放素材。,3600,https://images.unsplash.com/photo-1460925895917-afdab827c52f?auto=format&fit=crop&w=800&q=80,剩餘 20 個名額
AI-107,Python + LLM 大語言模型應用開發,程式開發,從 OpenAI API 入門到 LangChain 實作，完整掌握建構專業級 AI 應用程式的核心技術。,7500,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?auto=format&fit=crop&w=800&q=80,剩餘 6 個名額
AI-108,AI 影音創作與自動化短影音剪輯,影音創作,運用 AI 自動生成腳本、配音、配樂與字幕，快速產出 TikTok / Reels 爆款短影音。,4800,https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?auto=format&fit=crop&w=800&q=80,剩餘 10 個名額
AI-109,AI 時代的 UI/UX 設計與原型快速開發,視覺設計,結合 AI 快速製作 Wireframe、高保真 User Interface 與自動生成使用者測試報告。,5200,https://images.unsplash.com/photo-1581291518633-83b4ebd1d83e?auto=format&fit=crop&w=800&q=80,剩餘 14 個名額
AI-110,AI Agent 智能代理人實作工作坊,技術實作,學習如何設計能自動拆解任務、自主使用工具並執行複雜商業流程的 AI Agent。,8200,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=800&q=80,最後名額 (剩 2 名)
